Humidity,Smoke,Temperature,Target
95,820,22,0
94,819,21,0
93,819,19,0
93,820,18,0
91,821,15,0
91,812,14,0
88,812,13,0
88,807,10,0
88,813,10,0
86,824,13,0
84,820,17,0
78,815,18,0
78,824,14,0
76,819,23,0
72,824,20,0
72,812,17,0
72,808,16,0
72,815,14,0
71,820,20,0
71,827,20,0
70,781,23,0
70,819,22,0
70,813,18,0
70,808,16,0
69,826,22,0
69,813,19,0
68,793,16,0
68,758,12,0
67,816,23,0
67,831,22,0
67,830,20,0
66,763,23,0
66,823,23,0
66,825,22,0
66,828,21,0
66,832,20,0
66,808,14,0
65,828,22,0
65,825,22,0
65,827,21,0
65,804,20,0
65,808,17,0
65,810,16,0
65,769,13,0
64,812,19,0
63,828,23,0
63,829,23,0
63,825,22,0
63,828,22,0
63,819,17,0
63,809,17,0
63,807,17,0
63,806,16,0
62,813,21,0
62,832,20,0
62,814,20,0
62,798,19,0
62,806,17,0
62,808,17,0
61,730,22,0
61,725,21,0
61,814,20,0
61,813,20,0
60,813,22,0
60,813,21,0
59,813,21,0
59,830,19,0
59,811,16,0
59,806,16,0
58,806,17,0
57,807,17,0
57,808,17,0
56,816,21,0
56,820,20,0
55,816,23,0
54,814,23,0
54,814,21,0
54,812,20,0
53,813,20,0
53,812,20,0
53,811,18,0
53,823,36,0
53,821,35,0
52,813,20,0
52,807,19,0
52,825,38,0
51,816,35,0
50,816,21,0
49,796,22,0
49,830,41,0
48,785,21,0
48,823,39,0
48,819,27,0
47,811,21,0
47,825,39,0
47,825,38,0
45,813,28,0
45,812,28,0
45,837,26,0
45,831,25,0
45,806,25,0
45,831,43,0
45,828,40,0
45,820,27,0
44,819,27,0
44,813,28,0
44,797,28,0
44,812,28,0
44,812,27,0
44,572,27,0
44,771,27,0
44,841,27,0
44,840,26,0
44,834,25,0
44,756,22,0
44,817,45,0
43,809,28,0
43,811,27,0
43,815,27,0
43,819,27,0
43,816,27,0
43,814,27,0
43,813,28,0
43,810,28,0
43,812,28,0
43,811,28,0
43,809,28,0
43,764,28,0
43,760,27,0
43,812,27,0
43,818,27,0
43,816,27,0
43,815,27,0
43,814,27,0
43,844,26,0
43,836,25,0
43,815,28,0
43,803,27,0
42,817,28,0
42,816,28,0
42,812,28,0
42,813,28,0
42,806,27,0
42,812,27,0
42,794,27,0
42,813,27,0
42,814,27,0
42,812,27,0
42,811,27,0
42,808,27,0
42,806,28,0
42,799,28,0
42,807,28,0
42,810,28,0
42,787,27,0
42,775,27,0
42,799,27,0
42,816,27,0
42,814,27,0
42,810,27,0
42,812,27,0
42,813,27,0
42,808,27,0
42,813,27,0
42,806,27,0
42,814,27,0
42,808,28,0
42,812,28,0
42,831,44,0
42,829,44,0
42,804,28,0
41,824,29,0
41,823,29,0
41,811,29,0
41,795,28,0
41,813,28,0
41,820,28,0
41,821,28,0
41,817,28,0
41,814,27,0
41,747,27,0
41,808,27,0
41,809,28,0
41,805,28,0
41,796,27,0
41,815,27,0
41,812,27,0
41,831,43,0
41,830,42,0
41,822,28,0
41,823,28,0
41,824,28,0
41,821,29,0
40,821,28,0
40,820,28,0
40,816,28,0
40,805,27,0
40,807,28,0
40,821,45,0
40,825,29,0
40,828,29,0
40,808,28,0
40,823,28,0
40,825,28,0
40,827,28,0
40,828,28,0
39,811,27,0
39,817,45,0
37,821,46,0
37,812,45,0
37,825,37,0
36,817,28,0
36,815,46,0
36,829,40,0
35,815,46,0
35,900,29,0
34,815,45,0
33,907,29,0
33,895,29,0
33,897,29,0
32,819,46,0
32,815,46,0
32,886,29,0
32,870,29,0
32,873,29,0
32,935,28,0
32,933,28,0
32,925,28,0
32,908,28,0
31,886,29,0
31,864,29,0
31,863,29,0
31,859,29,0
31,857,29,0
31,856,29,0
31,855,29,0
31,920,28,0
31,916,28,0
30,821,46,0
30,816,46,0
30,821,45,0
27,880,29,0
22,781,34,0
20,802,44,0
17,785,43,0
17,788,35,0
17,816,32,0
16,822,45,0
16,778,44,0
16,779,44,0
16,783,44,0
16,797,44,0
15,777,43,0
15,778,43,0
15,781,43,0
15,782,43,0
15,795,43,0
15,787,43,0
15,781,34,0
15,785,34,0
14,769,42,0
14,774,42,0
14,775,42,0
14,780,42,0
14,781,42,0
14,785,42,0
14,790,42,0
14,765,41,0
14,767,41,0
14,769,41,0
14,773,41,0
14,778,41,0
14,783,41,0
14,784,41,0
14,789,41,0
14,782,41,0
14,790,37,0
13,766,40,0
13,767,40,0
13,785,40,0
13,769,39,0
13,773,39,0
13,790,39,0
13,793,39,0
13,777,39,0
13,465,34,0
12,769,38,0
12,775,38,0
12,776,38,0
12,792,38,0
12,778,38,0
12,773,38,0
12,802,38,0
12,723,34,0
11,769,37,0
11,767,37,0
11,764,37,0
11,762,37,0
11,683,37,0
11,762,37,0
11,760,37,0
11,758,37,0
11,756,37,0
11,757,37,0
11,485,37,0
11,692,37,0
11,767,36,0
11,765,36,0
11,763,36,0
11,762,36,0
11,760,36,0
11,758,36,0
11,757,36,0
11,755,36,0
11,740,36,0
11,779,34,0
11,782,34,0
11,693,34,0
11,797,33,0
10,770,35,0
10,776,35,0
10,772,35,0
10,771,35,0
10,770,34,0
10,771,34,0
10,772,34,0
10,773,34,0
10,775,34,0
10,776,34,0
10,777,34,0
10,778,34,0
10,779,34,0
10,780,34,0
10,781,34,0
10,785,34,0
10,789,34,0
10,779,33,0
10,781,33,0
10,784,33,0
10,786,33,0
10,788,33,0
10,794,33,0
10,796,33,0
10,797,33,0
10,782,33,0
10,785,33,0
10,790,33,0
10,793,33,0
10,795,33,0
10,780,33,0
